tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-09-01,71,96,26,88,70,96,PM25,SEDANG,DKI2
2020-09-02,72,97,26,92,122,122,O3,TIDAK SEHAT,DKI2
2020-09-03,80,92,25,90,94,94,O3,SEDANG,DKI2
2020-09-04,66,88,25,56,54,88,PM25,SEDANG,DKI3
2020-09-05,70,89,25,123,121,123,CO,TIDAK SEHAT,DKI5
2020-09-06,75,98,25,140,121,140,CO,TIDAK SEHAT,DKI5
2020-09-07,72,103,27,113,84,113,CO,TIDAK SEHAT,DKI5
2020-09-08,78,90,28,78,61,90,PM25,SEDANG,DKI2
2020-09-09,82,97,28,65,62,97,PM25,SEDANG,DKI3
2020-09-10,77,80,26,141,95,141,CO,TIDAK SEHAT,DKI5
2020-09-11,89,101,27,109,104,109,CO,TIDAK SEHAT,DKI5
2020-09-12,67,101,25,128,132,132,O3,TIDAK SEHAT,DKI2
2020-09-13,72,94,25,109,130,130,O3,TIDAK SEHAT,DKI2
2020-09-14,72,102,26,85,89,102,PM25,TIDAK SEHAT,DKI2
2020-09-15,57,87,36,99,80,99,CO,SEDANG,DKI5
2020-09-16,67,89,26,117,84,117,CO,TIDAK SEHAT,DKI5
2020-09-17,65,79,29,86,83,86,CO,SEDANG,DKI5
2020-09-18,70,94,26,60,70,94,PM25,SEDANG,DKI3
2020-09-19,88,97,42,96,68,97,PM25,SEDANG,DKI3
2020-09-20,73,87,26,38,48,87,PM25,SEDANG,DKI3
2020-09-21,65,71,27,91,84,91,CO,SEDANG,DKI5
2020-09-22,62,60,26,84,83,84,CO,SEDANG,DKI5
2020-09-23,73,101,33,162,125,162,CO,TIDAK SEHAT,DKI5
2020-09-24,57,94,29,111,128,128,O3,TIDAK SEHAT,DKI3
2020-09-25,74,95,30,108,114,114,O3,TIDAK SEHAT,DKI3
2020-09-26,73,105,30,118,99,118,CO,TIDAK SEHAT,DKI5
2020-09-27,70,96,31,98,93,98,CO,SEDANG,DKI5
2020-09-28,74,77,31,97,79,97,CO,SEDANG,DKI5
2020-09-29,68,72,34,97,92,97,CO,SEDANG,DKI4
2020-09-30,57,78,34,78,82,82,O3,SEDANG,DKI3
